date,station,airT,latitude,longitude
2018-07-01T14:00:00Z,dahlem,19.9,52.4537,13.3017
2018-07-01T14:00:00Z,dahlemerfeld,20.5987,52.477623,13.225339
2018-07-01T14:00:00Z,dessauer,20.9038,52.50467,13.3783
2018-07-01T14:00:00Z,jagen91,20.6408,52.473239,13.225079
2018-07-01T14:00:00Z,kaniswall,21.6,52.404,13.7309
2018-07-01T14:00:00Z,koepenick,21.4088,52.433018,13.615687
2018-07-01T14:00:00Z,lindenberg,20.2,52.2085,14.118
2018-07-01T14:00:00Z,marzahn,20.4,52.5447,13.5598
2018-07-01T14:00:00Z,muencheberg,20.4,52.5176,14.1232
2018-07-01T14:00:00Z,neuruppin,20.8,52.9037,12.8072
2018-07-01T14:00:00Z,potsdam,22.2,52.3813,13.0622
2018-07-01T14:00:00Z,rothenburg,21.2228,52.457232,13.315827
2018-07-01T14:00:00Z,spandauer,22.0119,52.536388,13.158442
2018-07-01T14:00:00Z,tiergarten,20.7453,52.514492,13.363593
2018-07-01T14:00:00Z,zehdenick,19.9,52.9664,13.3268
2018-07-01T15:00:00Z,airportthf,20.8,52.4675,13.4021
2018-07-01T15:00:00Z,airporttxl,20.5,52.5644,13.3088
2018-07-01T15:00:00Z,albrecht,21.3589,52.444594,13.348607
2018-07-01T15:00:00Z,bamberger,21.0002,52.496494,13.337552
2018-07-01T15:00:00Z,baruth,20.7,52.0613,13.4997
2018-07-01T15:00:00Z,berge,20.7,52.6198,12.7867
2018-07-01T15:00:00Z,brandenburg,19.9,52.3807,13.5306
2018-07-01T15:00:00Z,buch,19.7,52.6309,13.5022
2018-07-01T15:00:00Z,dahlem,20.6,52.4537,13.3017
2018-07-01T15:00:00Z,dahlemerfeld,20.6858,52.477623,13.225339
2018-07-01T15:00:00Z,dessauer,20.7814,52.50467,13.3783
2018-07-01T15:00:00Z,jagen91,20.5926,52.473239,13.225079
2018-07-01T15:00:00Z,kaniswall,21.7,52.404,13.7309
2018-07-01T15:00:00Z,koepenick,20.8434,52.433018,13.615687
2018-07-01T15:00:00Z,lindenberg,19.6,52.2085,14.118
2018-07-01T15:00:00Z,marzahn,20.8,52.5447,13.5598
2018-07-01T15:00:00Z,muencheberg,18.8,52.5176,14.1232
2018-07-01T15:00:00Z,neuruppin,20.6,52.9037,12.8072
2018-07-01T15:00:00Z,potsdam,21.3,52.3813,13.0622
2018-07-01T15:00:00Z,rothenburg,21.5375,52.457232,13.315827
2018-07-01T15:00:00Z,spandauer,21.9698,52.536388,13.158442
2018-07-01T15:00:00Z,tiergarten,20.3041,52.514492,13.363593
2018-07-01T15:00:00Z,zehdenick,19.6,52.9664,13.3268
2018-07-01T16:00:00Z,airportthf,20.4,52.4675,13.4021
2018-07-01T16:00:00Z,airporttxl,20.9,52.5644,13.3088
2018-07-01T16:00:00Z,albrecht,21.0156,52.444594,13.348607
2018-07-01T16:00:00Z,bamberger,20.2973,52.496494,13.337552
2018-07-01T16:00:00Z,baruth,21.2,52.0613,13.4997
2018-07-01T16:00:00Z,berge,20.8,52.6198,12.7867
2018-07-01T16:00:00Z,brandenburg,19.4,52.3807,13.5306
2018-07-01T16:00:00Z,buch,20.3,52.6309,13.5022
2018-07-01T16:00:00Z,dahlem,20.1,52.4537,13.3017
2018-07-01T16:00:00Z,dahlemerfeld,20.5491,52.477623,13.225339
2018-07-01T16:00:00Z,dessauer,20.5632,52.50467,13.3783
2018-07-01T16:00:00Z,jagen91,20.0585,52.473239,13.225079
2018-07-01T16:00:00Z,kaniswall,21,52.404,13.7309
2018-07-01T16:00:00Z,koepenick,20.1093,52.433018,13.615687
2018-07-01T16:00:00Z,lindenberg,19.5,52.2085,14.118
2018-07-01T16:00:00Z,marzahn,19.7,52.5447,13.5598
2018-07-01T16:00:00Z,muencheberg,19.5,52.5176,14.1232
2018-07-01T16:00:00Z,neuruppin,20.4,52.9037,12.8072
2018-07-01T16:00:00Z,potsdam,20.7,52.3813,13.0622
2018-07-01T16:00:00Z,rothenburg,20.9797,52.457232,13.315827
2018-07-01T16:00:00Z,spandauer,21.7604,52.536388,13.158442
2018-07-01T16:00:00Z,tiergarten,19.8654,52.514492,13.363593
2018-07-01T16:00:00Z,zehdenick,19.4,52.9664,13.3268
2018-07-01T17:00:00Z,airportthf,19.9,52.4675,13.4021
2018-07-01T17:00:00Z,airporttxl,19.5,52.5644,13.3088
2018-07-01T17:00:00Z,albrecht,19.9087,52.444594,13.348607
2018-07-01T17:00:00Z,bamberger,19.9242,52.496494,13.337552
2018-07-01T17:00:00Z,baruth,20.6,52.0613,13.4997
2018-07-01T17:00:00Z,berge,19.8,52.6198,12.7867
2018-07-01T17:00:00Z,brandenburg,19.2,52.3807,13.5306
2018-07-01T17:00:00Z,buch,19.3,52.6309,13.5022
2018-07-01T17:00:00Z,dahlem,19.6,52.4537,13.3017
2018-07-01T17:00:00Z,dahlemerfeld,20.157,52.477623,13.225339
2018-07-01T17:00:00Z,dessauer,20.1539,52.50467,13.3783
